User0,User1,User2,SL item đánh giá chung
540.0,607.0,351.0,2.0
494.0,600.0,476.0,6.0
606.0,247.0,577.0,9.0
116.0,483.0,47.0,8.0
556.0,256.0,284.0,7.0
549.0,295.0,373.0,7.0
353.0,288.0,393.0,12.0
360.0,32.0,80.0,12.0
517.0,244.0,187.0,6.0
259.0,649.0,180.0,9.0
6.0,327.0,294.0,6.0
198.0,187.0,98.0,7.0
373.0,184.0,108.0,5.0
522.0,331.0,442.0,4.0
466.0,638.0,545.0,8.0
291.0,656.0,191.0,7.0
414.0,472.0,534.0,7.0
626.0,415.0,102.0,9.0
604.0,334.0,59.0,3.0
160.0,60.0,606.0,6.0
358.0,234.0,593.0,8.0
144.0,520.0,550.0,10.0
193.0,514.0,544.0,15.0
104.0,399.0,490.0,8.0
608.0,35.0,70.0,5.0
410.0,489.0,462.0,7.0
645.0,176.0,629.0,6.0
49.0,124.0,603.0,7.0
593.0,285.0,32.0,8.0
609.0,140.0,540.0,8.0
659.0,124.0,600.0,9.0
613.0,142.0,434.0,2.0
423.0,270.0,494.0,7.0
556.0,619.0,67.0,7.0
361.0,255.0,586.0,7.0
58.0,230.0,654.0,4.0
195.0,38.0,487.0,9.0
407.0,509.0,77.0,9.0
463.0,507.0,285.0,9.0
149.0,310.0,32.0,10.0
193.0,334.0,641.0,16.0
76.0,254.0,1.0,15.0
208.0,471.0,477.0,7.0
234.0,227.0,447.0,8.0
491.0,119.0,571.0,7.0
286.0,452.0,645.0,7.0
359.0,288.0,115.0,6.0
516.0,50.0,466.0,6.0
503.0,578.0,486.0,4.0
443.0,226.0,427.0,8.0
417.0,29.0,404.0,5.0
185.0,470.0,133.0,11.0
519.0,387.0,506.0,7.0
215.0,641.0,660.0,4.0
588.0,213.0,316.0,8.0
527.0,204.0,494.0,10.0
591.0,105.0,550.0,6.0
569.0,313.0,210.0,6.0
621.0,349.0,539.0,5.0
349.0,471.0,177.0,3.0
410.0,446.0,264.0,7.0
552.0,161.0,483.0,11.0
586.0,19.0,311.0,4.0
467.0,349.0,327.0,3.0
514.0,518.0,391.0,6.0
484.0,84.0,545.0,10.0
430.0,195.0,433.0,8.0
417.0,458.0,523.0,8.0
661.0,208.0,413.0,5.0
381.0,149.0,42.0,5.0
105.0,108.0,30.0,7.0
410.0,601.0,332.0,11.0
172.0,497.0,222.0,7.0
1.0,65.0,414.0,5.0
125.0,496.0,134.0,6.0
567.0,108.0,552.0,10.0
327.0,300.0,195.0,7.0
453.0,184.0,152.0,6.0
53.0,43.0,142.0,7.0
103.0,28.0,145.0,7.0
302.0,460.0,223.0,8.0
72.0,102.0,547.0,6.0
447.0,180.0,622.0,10.0
459.0,198.0,252.0,8.0
218.0,522.0,381.0,6.0
116.0,35.0,111.0,7.0
46.0,466.0,69.0,9.0
345.0,203.0,535.0,10.0
441.0,390.0,16.0,8.0
44.0,280.0,569.0,8.0
550.0,466.0,630.0,8.0
54.0,655.0,394.0,6.0
12.0,60.0,533.0,7.0
554.0,80.0,184.0,4.0
162.0,212.0,573.0,5.0
467.0,382.0,270.0,3.0
272.0,445.0,278.0,8.0
302.0,325.0,574.0,10.0
50.0,273.0,337.0,4.0
655.0,62.0,447.0,7.0
476.0,209.0,51.0,6.0
227.0,606.0,298.0,12.0
433.0,402.0,301.0,9.0
654.0,214.0,528.0,3.0
401.0,274.0,461.0,7.0
651.0,125.0,156.0,3.0
276.0,367.0,387.0,5.0
272.0,617.0,387.0,7.0
211.0,153.0,571.0,4.0
94.0,412.0,299.0,5.0
631.0,453.0,642.0,10.0
541.0,165.0,80.0,7.0
374.0,195.0,437.0,3.0
614.0,599.0,45.0,6.0
507.0,403.0,641.0,11.0
486.0,258.0,513.0,10.0
361.0,469.0,292.0,7.0
141.0,514.0,121.0,7.0
130.0,238.0,101.0,12.0
543.0,316.0,580.0,2.0
357.0,631.0,164.0,4.0
185.0,14.0,315.0,8.0
234.0,159.0,150.0,10.0
619.0,433.0,367.0,6.0
202.0,423.0,463.0,10.0
425.0,48.0,144.0,9.0
499.0,617.0,333.0,6.0
574.0,321.0,361.0,6.0
321.0,529.0,11.0,4.0
260.0,447.0,231.0,9.0
76.0,179.0,60.0,5.0
100.0,449.0,378.0,8.0
395.0,538.0,15.0,11.0
44.0,352.0,473.0,8.0
291.0,297.0,458.0,5.0
596.0,550.0,421.0,3.0
247.0,28.0,53.0,7.0
174.0,127.0,220.0,5.0
304.0,101.0,110.0,4.0
445.0,277.0,513.0,6.0
516.0,79.0,82.0,5.0
316.0,544.0,541.0,6.0
195.0,103.0,632.0,13.0
293.0,628.0,248.0,10.0
340.0,500.0,21.0,3.0
450.0,430.0,624.0,8.0
640.0,525.0,241.0,8.0
367.0,381.0,368.0,7.0
129.0,389.0,49.0,16.0
421.0,77.0,179.0,6.0
123.0,80.0,325.0,8.0
165.0,340.0,130.0,7.0
40.0,649.0,611.0,7.0
369.0,224.0,406.0,9.0
145.0,609.0,494.0,9.0
413.0,32.0,493.0,11.0
503.0,562.0,16.0,8.0
215.0,144.0,477.0,8.0
624.0,611.0,100.0,6.0
109.0,165.0,355.0,12.0
183.0,632.0,52.0,4.0
539.0,579.0,550.0,3.0
12.0,244.0,434.0,7.0
447.0,416.0,373.0,6.0
548.0,502.0,461.0,8.0
566.0,444.0,59.0,8.0
495.0,312.0,339.0,6.0
119.0,277.0,23.0,6.0
239.0,560.0,184.0,6.0
613.0,241.0,27.0,9.0
382.0,169.0,6.0,8.0
58.0,7.0,259.0,6.0
214.0,297.0,353.0,6.0
483.0,592.0,375.0,11.0
193.0,31.0,501.0,11.0
411.0,124.0,356.0,4.0
517.0,610.0,74.0,11.0
114.0,423.0,135.0,8.0
64.0,55.0,142.0,8.0
376.0,208.0,648.0,8.0
184.0,404.0,81.0,11.0
9.0,550.0,383.0,5.0
468.0,527.0,497.0,7.0
155.0,558.0,577.0,3.0
17.0,419.0,23.0,10.0
198.0,56.0,529.0,6.0
143.0,248.0,462.0,8.0
484.0,302.0,249.0,2.0
399.0,9.0,470.0,3.0
23.0,199.0,153.0,10.0
590.0,652.0,119.0,8.0
62.0,506.0,335.0,6.0
155.0,390.0,313.0,7.0
521.0,476.0,538.0,7.0
238.0,73.0,335.0,14.0
530.0,489.0,85.0,9.0
342.0,157.0,74.0,5.0
73.0,628.0,271.0,8.0
221.0,619.0,179.0,8.0
182.0,632.0,27.0,10.0
383.0,541.0,604.0,8.0
567.0,339.0,129.0,7.0
114.0,66.0,559.0,7.0
366.0,438.0,39.0,3.0
243.0,644.0,201.0,4.0
607.0,533.0,44.0,5.0
374.0,529.0,191.0,6.0
397.0,636.0,384.0,7.0
166.0,570.0,64.0,8.0
435.0,353.0,271.0,6.0
465.0,252.0,308.0,13.0
320.0,641.0,132.0,7.0
285.0,388.0,78.0,7.0
400.0,577.0,457.0,3.0
392.0,503.0,106.0,5.0
487.0,445.0,58.0,6.0
103.0,198.0,582.0,5.0
504.0,639.0,200.0,7.0
259.0,332.0,523.0,10.0
483.0,92.0,251.0,6.0
379.0,312.0,182.0,6.0
79.0,553.0,322.0,8.0
470.0,200.0,493.0,10.0
71.0,640.0,108.0,9.0
102.0,205.0,66.0,7.0
612.0,69.0,498.0,8.0
29.0,283.0,250.0,15.0
143.0,235.0,650.0,7.0
234.0,609.0,276.0,8.0
531.0,544.0,381.0,5.0
464.0,426.0,64.0,8.0
306.0,282.0,105.0,3.0
623.0,177.0,406.0,7.0
445.0,439.0,166.0,4.0
90.0,46.0,248.0,7.0
461.0,624.0,114.0,7.0
441.0,446.0,445.0,8.0
299.0,259.0,372.0,8.0
504.0,508.0,281.0,5.0
131.0,441.0,505.0,5.0
585.0,399.0,117.0,9.0
617.0,170.0,18.0,8.0
201.0,223.0,372.0,10.0
480.0,414.0,327.0,8.0
67.0,135.0,484.0,8.0
596.0,328.0,58.0,9.0
624.0,210.0,200.0,10.0
581.0,99.0,444.0,7.0
374.0,403.0,118.0,7.0
338.0,91.0,589.0,9.0
243.0,222.0,646.0,8.0
54.0,136.0,254.0,3.0
341.0,270.0,513.0,11.0
324.0,532.0,304.0,10.0
282.0,606.0,424.0,6.0
343.0,495.0,516.0,8.0
579.0,413.0,345.0,6.0
342.0,465.0,227.0,4.0
397.0,452.0,129.0,8.0
21.0,67.0,544.0,8.0
182.0,10.0,267.0,10.0
58.0,334.0,151.0,8.0
147.0,616.0,423.0,2.0
443.0,564.0,621.0,12.0
263.0,498.0,526.0,6.0
149.0,369.0,40.0,6.0
503.0,422.0,590.0,8.0
593.0,612.0,366.0,9.0
456.0,657.0,364.0,5.0
29.0,57.0,291.0,9.0
280.0,187.0,501.0,6.0
496.0,261.0,160.0,7.0
9.0,408.0,616.0,8.0
642.0,26.0,394.0,8.0
294.0,168.0,581.0,4.0
403.0,624.0,458.0,3.0
207.0,97.0,355.0,8.0
659.0,173.0,628.0,8.0
620.0,453.0,299.0,8.0
