User0,User1,SL item đánh giá chung
123.0,638.0,49.0
547.0,65.0,37.0
38.0,85.0,44.0
191.0,3.0,52.0
212.0,314.0,53.0
319.0,23.0,52.0
122.0,118.0,56.0
133.0,497.0,46.0
647.0,55.0,55.0
263.0,298.0,49.0
71.0,358.0,53.0
530.0,295.0,51.0
195.0,171.0,52.0
213.0,334.0,57.0
399.0,205.0,63.0
213.0,459.0,46.0
21.0,449.0,48.0
73.0,213.0,55.0
311.0,507.0,60.0
487.0,426.0,44.0
369.0,330.0,43.0
126.0,238.0,50.0
279.0,529.0,43.0
371.0,423.0,48.0
527.0,514.0,56.0
613.0,496.0,41.0
128.0,356.0,44.0
408.0,483.0,43.0
231.0,158.0,37.0
586.0,178.0,44.0
220.0,616.0,43.0
87.0,233.0,54.0
187.0,509.0,51.0
115.0,258.0,44.0
89.0,624.0,41.0
203.0,526.0,44.0
606.0,565.0,58.0
414.0,22.0,45.0
609.0,308.0,56.0
64.0,355.0,49.0
617.0,463.0,48.0
480.0,334.0,40.0
382.0,531.0,45.0
291.0,110.0,49.0
534.0,194.0,37.0
2.0,584.0,42.0
516.0,311.0,53.0
8.0,511.0,49.0
632.0,417.0,49.0
387.0,198.0,47.0
536.0,89.0,50.0
156.0,429.0,38.0
132.0,214.0,64.0
259.0,335.0,62.0
272.0,22.0,51.0
124.0,532.0,47.0
143.0,475.0,54.0
43.0,605.0,57.0
407.0,261.0,40.0
67.0,102.0,54.0
373.0,350.0,36.0
626.0,15.0,39.0
71.0,182.0,46.0
557.0,468.0,44.0
216.0,404.0,41.0
354.0,492.0,49.0
271.0,584.0,40.0
581.0,36.0,47.0
166.0,227.0,52.0
165.0,295.0,43.0
607.0,342.0,47.0
106.0,296.0,38.0
483.0,198.0,38.0
163.0,525.0,60.0
37.0,172.0,42.0
430.0,381.0,54.0
201.0,65.0,52.0
56.0,638.0,45.0
347.0,434.0,48.0
476.0,444.0,46.0
127.0,582.0,51.0
374.0,59.0,45.0
152.0,85.0,48.0
116.0,612.0,49.0
385.0,3.0,56.0
476.0,492.0,44.0
227.0,472.0,40.0
196.0,658.0,42.0
534.0,105.0,40.0
373.0,561.0,45.0
19.0,440.0,44.0
594.0,378.0,50.0
657.0,418.0,34.0
582.0,430.0,37.0
113.0,559.0,54.0
151.0,630.0,50.0
622.0,147.0,50.0
127.0,170.0,48.0
375.0,6.0,73.0
526.0,380.0,56.0
330.0,489.0,58.0
434.0,129.0,44.0
396.0,45.0,47.0
508.0,547.0,51.0
592.0,466.0,49.0
33.0,474.0,48.0
152.0,512.0,56.0
181.0,118.0,67.0
631.0,70.0,42.0
76.0,40.0,44.0
602.0,205.0,47.0
82.0,223.0,38.0
318.0,343.0,44.0
473.0,466.0,48.0
169.0,297.0,52.0
644.0,374.0,40.0
415.0,17.0,53.0
385.0,646.0,33.0
499.0,93.0,51.0
429.0,450.0,46.0
576.0,92.0,45.0
658.0,329.0,46.0
572.0,629.0,50.0
289.0,197.0,39.0
85.0,439.0,42.0
362.0,300.0,48.0
382.0,9.0,50.0
351.0,596.0,49.0
184.0,624.0,41.0
607.0,197.0,31.0
562.0,643.0,49.0
447.0,390.0,54.0
555.0,317.0,51.0
154.0,455.0,57.0
624.0,627.0,47.0
15.0,296.0,48.0
89.0,327.0,43.0
131.0,568.0,49.0
201.0,431.0,45.0
533.0,67.0,43.0
153.0,565.0,43.0
492.0,656.0,38.0
421.0,122.0,49.0
519.0,591.0,48.0
7.0,505.0,48.0
142.0,395.0,48.0
440.0,375.0,57.0
611.0,262.0,46.0
163.0,621.0,48.0
218.0,292.0,56.0
438.0,579.0,47.0
70.0,167.0,54.0
375.0,294.0,45.0
426.0,459.0,41.0
483.0,475.0,55.0
375.0,449.0,52.0
427.0,547.0,59.0
329.0,242.0,49.0
273.0,149.0,59.0
183.0,616.0,45.0
300.0,77.0,49.0
160.0,640.0,53.0
38.0,394.0,50.0
423.0,16.0,70.0
465.0,82.0,40.0
193.0,218.0,54.0
533.0,559.0,46.0
337.0,587.0,58.0
284.0,632.0,41.0
379.0,339.0,48.0
66.0,459.0,44.0
66.0,118.0,55.0
38.0,206.0,42.0
498.0,525.0,55.0
245.0,610.0,50.0
60.0,189.0,53.0
563.0,273.0,41.0
658.0,180.0,42.0
245.0,108.0,52.0
276.0,46.0,39.0
382.0,367.0,42.0
238.0,209.0,58.0
577.0,365.0,42.0
439.0,473.0,55.0
101.0,571.0,49.0
378.0,250.0,49.0
112.0,622.0,65.0
67.0,64.0,53.0
647.0,654.0,38.0
425.0,54.0,45.0
30.0,61.0,38.0
150.0,19.0,43.0
79.0,568.0,54.0
401.0,295.0,55.0
161.0,233.0,55.0
411.0,203.0,40.0
215.0,470.0,52.0
623.0,406.0,51.0
294.0,408.0,50.0
49.0,339.0,47.0
438.0,449.0,52.0
283.0,487.0,50.0
660.0,109.0,56.0
76.0,187.0,59.0
27.0,307.0,43.0
390.0,338.0,50.0
606.0,312.0,58.0
509.0,4.0,42.0
510.0,528.0,57.0
370.0,112.0,52.0
138.0,174.0,49.0
366.0,282.0,52.0
316.0,454.0,50.0
178.0,441.0,50.0
151.0,376.0,52.0
354.0,228.0,45.0
222.0,350.0,42.0
151.0,133.0,58.0
322.0,41.0,46.0
450.0,361.0,55.0
266.0,187.0,51.0
507.0,16.0,55.0
55.0,600.0,53.0
229.0,289.0,47.0
416.0,230.0,53.0
92.0,203.0,43.0
452.0,598.0,46.0
173.0,397.0,57.0
381.0,371.0,55.0
232.0,543.0,42.0
532.0,635.0,43.0
215.0,552.0,56.0
68.0,24.0,45.0
155.0,51.0,46.0
25.0,496.0,38.0
563.0,334.0,56.0
540.0,634.0,53.0
250.0,506.0,47.0
408.0,571.0,43.0
261.0,592.0,49.0
635.0,335.0,51.0
572.0,62.0,47.0
523.0,486.0,62.0
560.0,17.0,57.0
529.0,33.0,52.0
168.0,211.0,48.0
301.0,431.0,55.0
596.0,157.0,44.0
533.0,134.0,53.0
603.0,244.0,54.0
484.0,234.0,46.0
52.0,63.0,57.0
343.0,445.0,53.0
419.0,481.0,55.0
202.0,218.0,49.0
