,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
368,551,142,358,624,0.825,1,0.904109589,33,40,1255
369,167,130,79,431,0.666666667,1,0.8,28,42,1345
370,353,580,63,149,0.833333333,1,0.909090909,45,54,1356
371,352,182,108,254,0.777777778,1,0.875,35,45,1253
372,30,379,441,443,0.784313725,1,0.879120879,40,51,1390
373,489,565,621,281,0.707317073,1,0.828571429,29,41,1346
374,634,365,385,258,0.7,1,0.823529412,28,40,1293
375,4,660,528,391,0.784313725,1,0.879120879,40,51,1348
376,471,47,282,453,0.756097561,1,0.861111111,31,41,1300
377,446,538,371,343,0.82,1,0.901098901,41,50,1301
378,377,126,558,580,0.857142857,1,0.923076923,48,56,1371
379,343,608,220,368,0.770833333,1,0.870588235,37,48,1320
380,249,366,458,443,0.704545455,1,0.826666667,31,44,1323
381,66,49,398,488,0.697674419,1,0.821917808,30,43,1320
382,433,608,312,261,0.708333333,1,0.829268293,34,48,1287
383,587,279,119,85,0.804347826,1,0.891566265,37,46,1319
384,617,489,359,222,0.733333333,1,0.846153846,33,45,1341
385,605,421,79,65,0.705882353,1,0.827586207,36,51,1387
386,76,137,352,83,0.697674419,1,0.821917808,30,43,1303
387,56,53,135,316,0.692307692,1,0.818181818,27,39,1368
388,18,119,599,270,0.70212766,1,0.825,33,47,1284
389,123,556,331,58,0.780487805,1,0.876712329,32,41,1286
390,593,154,555,171,0.836734694,1,0.911111111,41,49,1304
391,27,349,183,579,0.791666667,1,0.88372093,38,48,1295
392,532,435,495,427,0.795918367,1,0.886363636,39,49,1306
393,24,512,178,332,0.684210526,1,0.8125,26,38,1265
394,345,299,180,600,0.8,1,0.888888889,44,55,1377
395,652,294,174,453,0.80952381,1,0.894736842,34,42,1259
396,602,89,432,315,0.735294118,1,0.847457627,25,34,1333
397,600,185,293,444,0.756097561,1,0.861111111,31,41,1327
398,29,396,488,583,0.681818182,1,0.810810811,30,44,1340
399,562,111,541,151,0.772727273,1,0.871794872,34,44,1351
400,580,504,315,272,0.72972973,1,0.84375,27,37,1337
401,365,159,507,106,0.6875,1,0.814814815,22,32,1272
402,565,132,345,454,0.755102041,1,0.860465116,37,49,1328
403,521,326,61,506,0.849056604,1,0.918367347,45,53,1369
404,525,79,441,628,0.739130435,1,0.85,34,46,1356
405,25,638,317,295,0.769230769,1,0.869565217,30,39,1309
406,477,489,450,398,0.764705882,1,0.866666667,26,34,1358
407,615,114,491,470,0.722222222,1,0.838709677,26,36,1253
408,610,389,288,590,0.760869565,1,0.864197531,35,46,1320
409,506,48,204,47,0.690909091,1,0.817204301,38,55,1351
410,492,183,312,411,0.636363636,1,0.777777778,21,33,1304
411,152,498,19,124,0.71875,1,0.836363636,23,32,1336
412,566,542,453,547,0.738095238,1,0.849315068,31,42,1290
413,451,296,173,469,0.808510638,1,0.894117647,38,47,1364
414,577,440,515,267,0.675675676,1,0.806451613,25,37,1268
415,353,160,462,643,0.8,1,0.888888889,32,40,1374
416,243,87,425,393,0.744680851,1,0.853658537,35,47,1342
417,255,525,565,402,0.803921569,1,0.891304348,41,51,1292
418,384,277,83,56,0.714285714,1,0.833333333,30,42,1269
419,320,575,86,196,0.681818182,1,0.810810811,30,44,1280
420,469,96,199,200,0.814814815,1,0.897959184,44,54,1350
421,100,247,376,71,0.7,1,0.823529412,28,40,1208
422,556,334,83,148,0.756097561,1,0.861111111,31,41,1277
423,588,169,122,369,0.756097561,1,0.861111111,31,41,1316
424,509,189,273,220,0.790697674,1,0.883116883,34,43,1274
425,385,636,626,270,0.70212766,1,0.825,33,47,1340
426,396,440,60,344,0.75,1,0.857142857,30,40,1296
427,84,199,473,112,0.707317073,1,0.828571429,29,41,1258
428,22,657,203,173,0.88,1,0.936170213,44,50,1304
429,328,91,66,581,0.803921569,1,0.891304348,41,51,1278
430,304,146,350,535,0.738095238,1,0.849315068,31,42,1338
431,200,646,591,635,0.65,1,0.787878788,26,40,1372
432,397,378,374,146,0.833333333,1,0.909090909,35,42,1323
433,117,187,133,9,0.833333333,1,0.909090909,40,48,1257
434,280,331,446,556,0.696969697,1,0.821428571,23,33,1300
435,358,255,48,129,0.807692308,1,0.893617021,42,52,1326
436,46,119,649,365,0.828571429,1,0.90625,29,35,1273
437,550,43,380,168,0.793103448,1,0.884615385,46,58,1302
438,180,610,28,343,0.775,1,0.873239437,31,40,1252
439,431,642,578,362,0.725,1,0.84057971,29,40,1286
