,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
388,274,30,499,0.9375,1,0.967741935,30,32,1460
389,357,517,352,0.947368421,1,0.972972973,18,19,1460
390,290,525,34,0.875,1,0.933333333,14,16,1476
391,486,543,248,1,1,1,25,25,1449
392,251,39,128,0.833333333,1,0.909090909,20,24,1389
393,278,448,319,0.954545455,1,0.976744186,21,22,1481
394,170,219,472,0.913043478,1,0.954545455,21,23,1410
395,61,325,383,0.793103448,1,0.884615385,23,29,1495
396,493,22,412,0.703703704,1,0.826086957,19,27,1413
397,37,150,570,1,1,1,26,26,1363
398,197,642,335,0.952380952,1,0.975609756,20,21,1363
399,56,638,47,0.869565217,1,0.930232558,20,23,1361
400,516,88,78,0.923076923,1,0.96,24,26,1471
401,306,113,354,0.965517241,1,0.98245614,28,29,1436
402,444,389,459,0.9,1,0.947368421,18,20,1469
403,537,35,76,0.827586207,1,0.905660377,24,29,1430
404,124,570,563,0.875,1,0.933333333,21,24,1426
405,12,662,389,0.878787879,1,0.935483871,29,33,1474
406,551,619,616,0.818181818,1,0.9,18,22,1393
407,564,254,354,0.916666667,1,0.956521739,22,24,1470
408,291,189,321,0.807692308,1,0.893617021,21,26,1373
409,138,346,471,0.857142857,1,0.923076923,30,35,1429
410,315,191,343,0.925925926,1,0.961538462,25,27,1378
411,600,15,598,0.944444444,1,0.971428571,17,18,1480
412,138,379,601,0.793103448,1,0.884615385,23,29,1437
413,444,433,233,0.916666667,1,0.956521739,22,24,1474
414,401,382,272,0.88,1,0.936170213,22,25,1432
415,75,550,497,0.9,1,0.947368421,27,30,1492
416,623,474,366,0.944444444,1,0.971428571,17,18,1394
417,463,501,486,0.8125,1,0.896551724,26,32,1420
418,502,106,472,0.85,1,0.918918919,17,20,1469
419,545,311,361,0.913043478,1,0.954545455,21,23,1423
420,185,629,249,0.903225806,1,0.949152542,28,31,1420
421,445,347,243,0.904761905,1,0.95,19,21,1431
422,596,52,395,0.933333333,1,0.965517241,14,15,1404
423,7,254,639,0.914285714,1,0.955223881,32,35,1421
424,208,314,291,0.869565217,1,0.930232558,20,23,1347
425,272,63,653,0.875,1,0.933333333,14,16,1440
426,59,591,489,0.769230769,1,0.869565217,20,26,1452
427,602,85,267,0.821428571,1,0.901960784,23,28,1350
428,509,447,9,0.892857143,1,0.943396226,25,28,1448
429,224,596,83,0.826086957,1,0.904761905,19,23,1449
430,579,95,221,0.913043478,1,0.954545455,21,23,1396
431,434,309,150,0.928571429,1,0.962962963,26,28,1451
432,657,341,513,0.695652174,1,0.820512821,16,23,1450
433,576,372,591,0.703703704,1,0.826086957,19,27,1374
434,365,515,481,0.807692308,1,0.893617021,21,26,1438
435,248,242,528,1,1,1,27,27,1472
436,128,201,49,0.870967742,1,0.931034483,27,31,1366
437,224,480,351,0.782608696,1,0.87804878,18,23,1511
438,346,529,370,0.875,1,0.933333333,21,24,1481
439,226,129,186,0.92,1,0.958333333,23,25,1469
440,636,602,125,0.85,1,0.918918919,17,20,1390
441,402,141,339,0.916666667,1,0.956521739,22,24,1405
442,39,64,212,0.958333333,1,0.978723404,23,24,1390
443,307,165,326,0.814814815,1,0.897959184,22,27,1449
444,482,411,134,0.8,1,0.888888889,20,25,1426
445,448,109,278,1,1,1,18,18,1403
446,570,100,220,0.90625,1,0.950819672,29,32,1479
447,298,55,585,0.863636364,1,0.926829268,19,22,1507
448,234,433,139,0.916666667,1,0.956521739,11,12,1406
449,44,504,279,0.722222222,1,0.838709677,13,18,1449
450,455,352,598,0.888888889,1,0.941176471,16,18,1513
451,476,427,538,0.88,1,0.936170213,22,25,1491
452,627,281,36,0.909090909,1,0.952380952,20,22,1399
453,585,390,291,0.863636364,1,0.926829268,19,22,1411
454,65,371,658,1,1,1,13,13,1431
455,64,524,554,0.909090909,1,0.952380952,20,22,1422
456,223,489,188,1,1,1,17,17,1340
457,115,89,316,0.894736842,1,0.944444444,17,19,1393
458,652,641,520,0.928571429,1,0.962962963,26,28,1498
459,377,320,340,0.846153846,1,0.916666667,22,26,1406
460,347,493,201,0.866666667,1,0.928571429,26,30,1494
461,334,245,416,0.884615385,1,0.93877551,23,26,1515
462,354,44,169,0.851851852,1,0.92,23,27,1378
463,653,89,369,0.827586207,1,0.905660377,24,29,1395
464,549,619,336,0.888888889,1,0.941176471,24,27,1456
465,432,393,389,0.869565217,1,0.930232558,20,23,1434
466,96,447,653,0.9,1,0.947368421,27,30,1427
467,470,178,219,0.863636364,1,0.926829268,19,22,1321
468,471,214,395,0.913043478,1,0.954545455,21,23,1378
469,595,276,117,0.827586207,1,0.905660377,24,29,1394
470,632,13,532,0.84,1,0.913043478,21,25,1551
471,43,77,294,0.923076923,1,0.96,24,26,1479
472,59,330,304,0.636363636,1,0.777777778,14,22,1443
473,42,501,414,0.8,1,0.888888889,28,35,1538
474,41,408,617,0.8,1,0.888888889,20,25,1406
475,146,346,473,0.92,1,0.958333333,23,25,1436
476,188,158,218,0.96969697,1,0.984615385,32,33,1345
477,94,171,494,0.925925926,1,0.961538462,25,27,1386
478,569,66,549,0.896551724,1,0.945454545,26,29,1372
479,355,347,438,0.846153846,1,0.916666667,22,26,1492
480,449,572,605,0.833333333,1,0.909090909,15,18,1474
481,345,170,613,0.772727273,1,0.871794872,17,22,1404
482,147,24,330,0.761904762,1,0.864864865,16,21,1377
483,244,369,349,0.96,1,0.979591837,24,25,1358
484,52,422,545,0.870967742,1,0.931034483,27,31,1515
485,26,120,492,0.818181818,1,0.9,18,22,1369
486,121,451,350,0.956521739,1,0.977777778,22,23,1452
487,330,488,40,0.703703704,1,0.826086957,19,27,1346
488,135,207,68,0.842105263,1,0.914285714,16,19,1429
489,171,228,78,0.851851852,1,0.92,23,27,1425
490,89,40,512,0.913043478,1,0.954545455,21,23,1467
