,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
364,188,352,0.875,1,0.933333333,7,8,1640
365,259,353,0.875,1,0.933333333,7,8,1577
366,280,84,0.727272727,1,0.842105263,8,11,1716
367,598,396,0.875,1,0.933333333,7,8,1670
368,146,460,1,1,1,7,7,1577
369,348,396,1,1,1,10,10,1625
370,407,49,1,1,1,11,11,1571
371,572,535,0.818181818,1,0.9,9,11,1595
372,412,212,0.909090909,1,0.952380952,10,11,1616
373,108,481,0.9,1,0.947368421,9,10,1583
374,574,86,0.833333333,1,0.909090909,5,6,1650
375,589,450,0.8,1,0.888888889,8,10,1588
376,582,407,1,1,1,7,7,1596
377,161,408,0.928571429,1,0.962962963,13,14,1537
378,414,569,1,1,1,14,14,1575
379,171,72,0.857142857,1,0.923076923,12,14,1569
380,146,602,0.8,1,0.888888889,8,10,1563
381,567,410,0.846153846,1,0.916666667,11,13,1581
382,52,388,1,1,1,5,5,1606
383,216,438,0.888888889,1,0.941176471,8,9,1623
384,453,158,0.818181818,1,0.9,9,11,1490
385,16,373,1,1,1,8,8,1620
386,153,186,0.818181818,1,0.9,9,11,1604
387,386,38,0.833333333,1,0.909090909,5,6,1657
388,170,56,0.727272727,1,0.842105263,8,11,1699
389,87,603,1,1,1,6,6,1558
390,558,13,0.857142857,1,0.923076923,6,7,1502
391,429,405,0.75,1,0.857142857,6,8,1688
392,78,129,0.9,1,0.947368421,9,10,1582
393,211,554,0.7,1,0.823529412,7,10,1622
394,543,69,1,1,1,8,8,1582
395,341,331,0.888888889,1,0.941176471,8,9,1551
396,56,275,0.8,1,0.888888889,8,10,1646
397,549,72,0.909090909,1,0.952380952,10,11,1599
398,117,191,1,1,1,5,5,1620
399,30,116,1,1,1,6,6,1580
400,449,166,0.875,1,0.933333333,7,8,1498
401,466,636,1,1,1,11,11,1562
402,131,26,1,1,1,9,9,1669
403,33,204,0.6,1,0.75,6,10,1625
404,624,207,0.625,1,0.769230769,5,8,1710
405,74,657,0.9,1,0.947368421,9,10,1610
406,544,203,0.75,1,0.857142857,9,12,1598
407,507,455,0.818181818,1,0.9,9,11,1587
408,570,500,1,1,1,10,10,1584
409,496,78,1,1,1,10,10,1630
410,544,230,1,1,1,4,4,1622
411,602,303,0.777777778,1,0.875,7,9,1504
412,60,253,0.9,1,0.947368421,9,10,1593
413,65,102,1,1,1,8,8,1644
414,423,441,0.833333333,1,0.909090909,5,6,1606
415,12,196,0.857142857,1,0.923076923,6,7,1517
416,625,626,0.888888889,1,0.941176471,8,9,1593
417,243,140,0.857142857,1,0.923076923,6,7,1546
418,489,628,0.75,1,0.857142857,6,8,1612
419,188,548,1,1,1,8,8,1664
420,244,510,1,1,1,7,7,1615
421,583,500,0.818181818,1,0.9,9,11,1528
422,271,563,1,1,1,17,17,1634
423,373,41,0.866666667,1,0.928571429,13,15,1602
424,359,67,0.846153846,1,0.916666667,11,13,1610
425,487,142,0.857142857,1,0.923076923,6,7,1613
426,553,427,0.875,1,0.933333333,7,8,1499
427,317,579,0.666666667,1,0.8,4,6,1574
428,550,429,1,1,1,6,6,1554
429,612,268,1,1,1,14,14,1671
430,186,602,0.928571429,1,0.962962963,13,14,1561
431,272,32,0.916666667,1,0.956521739,11,12,1604
432,31,350,0.714285714,1,0.833333333,5,7,1622
433,520,281,0.75,1,0.857142857,6,8,1577
434,505,513,0.933333333,1,0.965517241,14,15,1592
435,337,658,1,1,1,10,10,1637
436,389,656,0.947368421,1,0.972972973,18,19,1572
437,491,241,1,1,1,10,10,1570
438,546,165,0.6,1,0.75,3,5,1548
439,466,452,0.833333333,1,0.909090909,5,6,1648
440,463,178,0.888888889,1,0.941176471,16,18,1611
441,164,142,0.875,1,0.933333333,7,8,1479
442,107,359,0.666666667,1,0.8,8,12,1620
443,539,549,1,1,1,9,9,1543
444,268,359,0.875,1,0.933333333,7,8,1713
445,138,25,0.9,1,0.947368421,9,10,1649
446,580,614,0.857142857,1,0.923076923,12,14,1603
447,470,111,0.857142857,1,0.923076923,6,7,1532
448,439,411,0.846153846,1,0.916666667,11,13,1602
449,224,584,1,1,1,6,6,1528
450,121,76,0.916666667,1,0.956521739,11,12,1645
451,333,288,0.888888889,1,0.941176471,8,9,1664
452,183,413,0.888888889,1,0.941176471,8,9,1591
453,512,615,0.916666667,1,0.956521739,11,12,1442
454,350,342,1,1,1,4,4,1607
455,592,295,0.636363636,1,0.777777778,7,11,1630
456,400,122,1,1,1,6,6,1563
457,616,233,0.833333333,1,0.909090909,5,6,1592
458,292,566,1,1,1,6,6,1572
459,236,492,1,1,1,6,6,1583
460,218,198,1,1,1,4,4,1553
461,653,143,0.909090909,1,0.952380952,10,11,1636
462,633,55,1,1,1,9,9,1536
463,438,215,0.777777778,1,0.875,7,9,1695
464,191,296,1,1,1,8,8,1641
465,457,72,0.8,1,0.888888889,12,15,1596
