,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
394,31,38,1,1,1,4,4,1646
395,625,623,1,1,1,9,9,1672
396,358,131,1,1,1,6,6,1704
397,393,399,1,1,1,7,7,1669
398,3,203,0.875,1,0.933333333,7,8,1707
399,128,129,1,1,1,10,10,1772
400,195,199,1,1,1,7,7,1738
401,576,321,1,1,1,6,6,1780
402,507,317,1,1,1,5,5,1776
403,138,62,1,1,1,8,8,1771
404,603,469,1,1,1,4,4,1722
405,241,367,1,1,1,4,4,1693
406,514,432,0.857142857,1,0.923076923,6,7,1663
407,257,370,1,1,1,10,10,1704
408,170,235,1,1,1,6,6,1715
409,349,607,1,1,1,10,10,1656
410,394,87,1,1,1,5,5,1711
411,81,506,0.714285714,1,0.833333333,5,7,1707
412,261,221,1,1,1,3,3,1742
413,29,38,1,1,1,7,7,1655
414,45,451,1,1,1,4,4,1730
415,476,555,1,1,1,9,9,1699
416,137,50,1,1,1,12,12,1738
417,559,457,1,1,1,11,11,1789
418,217,555,1,1,1,6,6,1694
419,367,345,0,0,0,0,0,1716
420,410,641,0.875,1,0.933333333,7,8,1760
421,607,92,0.888888889,1,0.941176471,8,9,1637
422,511,66,0.857142857,1,0.923076923,6,7,1712
423,451,210,0.8,1,0.888888889,4,5,1728
424,317,443,1,1,1,6,6,1719
425,195,472,1,1,1,7,7,1691
426,33,285,1,1,1,3,3,1701
427,579,264,0.75,1,0.857142857,3,4,1698
428,197,168,1,1,1,6,6,1665
429,109,22,1,1,1,3,3,1728
430,334,202,1,1,1,3,3,1717
431,338,372,1,1,1,11,11,1744
432,16,330,0,0,0,0,0,1758
433,525,421,1,1,1,6,6,1749
434,129,566,1,1,1,9,9,1757
435,538,270,0,0,0,0,0,1785
436,458,206,1,1,1,8,8,1736
437,17,506,0.875,1,0.933333333,7,8,1722
438,630,194,0.875,1,0.933333333,7,8,1659
439,295,272,1,1,1,8,8,1783
440,70,463,0.888888889,1,0.941176471,8,9,1673
441,387,283,0,0,0,0,0,1688
442,25,349,0.875,1,0.933333333,7,8,1667
443,594,308,0.875,1,0.933333333,7,8,1634
444,253,554,1,1,1,4,4,1729
445,542,385,1,1,1,14,14,1778
446,374,491,0.857142857,1,0.923076923,6,7,1696
447,365,291,1,1,1,4,4,1754
448,230,22,1,1,1,8,8,1618
449,75,204,1,1,1,5,5,1661
450,275,567,1,1,1,8,8,1679
451,73,613,0.9,1,0.947368421,9,10,1732
452,297,547,1,1,1,5,5,1731
453,334,593,1,1,1,12,12,1760
454,449,603,0.75,1,0.857142857,6,8,1675
455,301,285,0.875,1,0.933333333,7,8,1747
456,109,578,0.8,1,0.888888889,4,5,1766
457,572,403,1,1,1,6,6,1716
458,335,66,0.571428571,1,0.727272727,4,7,1715
459,133,291,0.909090909,1,0.952380952,10,11,1734
460,539,573,1,1,1,11,11,1779
461,619,497,0.9,1,0.947368421,9,10,1714
462,350,544,1,1,1,5,5,1756
463,388,636,1,1,1,7,7,1744
464,170,529,1,1,1,5,5,1641
465,531,454,0,0,0,0,0,1612
466,490,251,1,1,1,5,5,1655
467,452,618,1,1,1,8,8,1637
468,514,641,1,1,1,4,4,1685
469,617,471,0.8,1,0.888888889,4,5,1719
470,229,406,1,1,1,8,8,1681
471,514,563,0.9,1,0.947368421,9,10,1690
472,100,335,1,1,1,5,5,1669
473,311,234,1,1,1,6,6,1721
474,196,549,1,1,1,6,6,1650
475,303,510,1,1,1,6,6,1785
476,649,563,1,1,1,4,4,1643
477,170,213,1,1,1,3,3,1776
478,595,151,1,1,1,8,8,1787
479,146,494,1,1,1,8,8,1744
480,121,550,1,1,1,6,6,1747
481,445,74,0.916666667,1,0.956521739,11,12,1737
482,621,292,1,1,1,9,9,1657
483,247,476,1,1,1,7,7,1702
484,470,580,1,1,1,7,7,1734
485,161,503,0.833333333,1,0.909090909,5,6,1721
486,292,374,1,1,1,12,12,1676
487,148,56,1,1,1,11,11,1658
488,157,466,0.888888889,1,0.941176471,8,9,1822
489,9,59,0.75,1,0.857142857,6,8,1712
490,22,579,1,1,1,7,7,1677
491,460,639,1,1,1,5,5,1680
492,448,642,1,1,1,8,8,1707
493,172,510,0.666666667,1,0.8,2,3,1791
494,60,591,1,1,1,3,3,1715
495,216,72,0.75,1,0.857142857,3,4,1745
496,196,498,1,1,1,4,4,1734
497,545,454,0.75,1,0.857142857,6,8,1554
498,460,621,1,1,1,3,3,1711
499,444,335,0.857142857,1,0.923076923,6,7,1719
500,518,90,1,1,1,6,6,1621
501,140,368,1,1,1,7,7,1715
502,133,554,0.8,1,0.888888889,4,5,1746
503,240,593,0,0,0,0,0,1675
504,244,442,1,1,1,5,5,1785
505,633,531,0.777777778,1,0.875,7,9,1746
506,104,319,1,1,1,5,5,1699
507,428,108,1,1,1,5,5,1649
508,273,119,1,1,1,6,6,1735
509,250,76,1,1,1,8,8,1755
510,330,235,1,1,1,8,8,1727
511,172,263,1,1,1,5,5,1697
512,318,327,1,1,1,6,6,1787
513,61,565,1,1,1,8,8,1734
514,419,344,1,1,1,7,7,1792
515,454,116,1,1,1,6,6,1637
516,611,440,1,1,1,9,9,1767
517,466,206,0.8,1,0.888888889,4,5,1717
518,632,112,1,1,1,7,7,1797
519,421,66,1,1,1,3,3,1687
520,201,192,1,1,1,8,8,1670
521,592,190,1,1,1,3,3,1718
522,493,70,1,1,1,8,8,1609
