,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
364,29,371,67,84,0.677419355,1,0.807692308,21,31,1541
365,3,112,477,502,0.775,1,0.873239437,31,40,1491
366,359,45,275,324,0.68,1,0.80952381,17,25,1508
367,263,322,67,649,0.678571429,1,0.808510638,19,28,1494
368,330,534,23,44,0.526315789,1,0.689655172,10,19,1550
369,400,77,385,597,0.724137931,1,0.84,21,29,1530
370,359,288,318,595,0.774193548,1,0.872727273,24,31,1510
371,304,599,368,298,0.820512821,1,0.901408451,32,39,1547
372,482,9,546,249,0.794117647,1,0.885245902,27,34,1533
373,247,534,568,624,0.625,1,0.769230769,15,24,1543
374,533,345,550,547,0.692307692,1,0.818181818,18,26,1508
375,408,254,460,299,0.724137931,1,0.84,21,29,1513
376,310,544,46,519,0.75,1,0.857142857,27,36,1498
377,575,192,228,200,0.666666667,1,0.8,14,21,1518
378,13,1,646,318,0.666666667,1,0.8,20,30,1538
379,447,362,205,557,0.72,1,0.837209302,18,25,1564
380,648,215,565,441,0.771428571,1,0.870967742,27,35,1506
381,107,625,137,485,0.75862069,1,0.862745098,22,29,1573
382,47,497,315,309,0.64,1,0.780487805,16,25,1499
383,250,620,401,328,0.733333333,1,0.846153846,22,30,1539
384,464,511,598,633,0.55,1,0.709677419,11,20,1545
385,484,297,216,462,0.692307692,1,0.818181818,18,26,1572
386,320,409,579,368,0.727272727,1,0.842105263,24,33,1495
387,520,199,159,465,0.518518519,1,0.682926829,14,27,1558
388,365,422,346,45,0.703703704,1,0.826086957,19,27,1537
389,231,95,586,587,0.565217391,1,0.722222222,13,23,1476
390,435,98,196,260,0.75,1,0.857142857,21,28,1610
391,511,629,143,167,0.666666667,1,0.8,16,24,1515
392,293,324,539,601,0.757575758,1,0.862068966,25,33,1610
393,468,305,331,485,0.7,1,0.823529412,21,30,1552
394,614,42,529,609,0.740740741,1,0.85106383,20,27,1473
395,9,583,218,35,0.724137931,1,0.84,21,29,1577
396,365,390,220,529,0.636363636,1,0.777777778,14,22,1517
397,490,523,586,291,0.655172414,1,0.791666667,19,29,1545
398,33,172,634,78,0.727272727,1,0.842105263,24,33,1536
399,586,468,464,252,0.583333333,1,0.736842105,14,24,1521
400,363,492,53,191,0.696969697,1,0.821428571,23,33,1474
401,475,645,47,14,0.625,1,0.769230769,15,24,1418
402,232,149,50,364,0.625,1,0.769230769,15,24,1524
403,440,638,87,463,0.741935484,1,0.851851852,23,31,1513
404,71,221,614,275,0.64,1,0.780487805,16,25,1435
405,16,535,271,165,0.666666667,1,0.8,14,21,1561
406,306,341,307,57,0.714285714,1,0.833333333,20,28,1569
407,65,203,507,48,0.692307692,1,0.818181818,27,39,1575
408,150,431,322,468,0.75862069,1,0.862745098,22,29,1563
409,428,44,235,505,0.764705882,1,0.866666667,26,34,1519
410,421,423,83,546,0.72,1,0.837209302,18,25,1514
411,476,35,85,383,0.71875,1,0.836363636,23,32,1542
412,229,448,567,582,0.75,1,0.857142857,21,28,1531
413,651,147,511,110,0.125,1,0.222222222,1,8,1619
414,189,428,383,225,0.6875,1,0.814814815,22,32,1468
415,11,192,50,636,0.75,1,0.857142857,24,32,1525
416,76,548,64,21,0.75,1,0.857142857,27,36,1530
417,533,389,65,474,0.75,1,0.857142857,21,28,1550
418,61,357,557,651,0.533333333,1,0.695652174,8,15,1490
419,234,334,588,298,0.727272727,1,0.842105263,24,33,1565
420,574,438,567,334,0.64,1,0.780487805,16,25,1588
421,515,649,250,325,0.631578947,1,0.774193548,12,19,1574
422,126,620,314,645,0.526315789,1,0.689655172,10,19,1479
423,392,589,38,487,0.727272727,1,0.842105263,24,33,1503
424,594,132,18,339,0.8,1,0.888888889,28,35,1529
425,486,549,65,635,0.703703704,1,0.826086957,19,27,1517
426,561,298,282,29,0.742857143,1,0.852459016,26,35,1492
427,331,457,295,519,0.714285714,1,0.833333333,20,28,1508
428,271,245,170,543,0.685714286,1,0.813559322,24,35,1496
429,484,494,141,571,0.75,1,0.857142857,21,28,1565
430,617,275,220,613,0.703703704,1,0.826086957,19,27,1612
431,395,206,423,389,0.65,1,0.787878788,13,20,1519
432,8,629,357,64,0.714285714,1,0.833333333,20,28,1498
433,498,420,99,153,0.771428571,1,0.870967742,27,35,1517
434,596,584,70,253,0.774193548,1,0.872727273,24,31,1539
435,425,467,284,67,0.8,1,0.888888889,32,40,1492
436,404,488,420,457,0.703703704,1,0.826086957,19,27,1428
437,580,629,121,519,0.583333333,1,0.736842105,14,24,1536
438,54,648,498,632,0.78125,1,0.877192982,25,32,1452
439,208,173,633,226,0.757575758,1,0.862068966,25,33,1519
440,358,23,90,504,0.7,1,0.823529412,21,30,1558
441,269,616,315,192,0.757575758,1,0.862068966,25,33,1501
442,239,502,342,266,0.794117647,1,0.885245902,27,34,1539
443,137,165,582,349,0.774193548,1,0.872727273,24,31,1503
444,457,81,20,552,0.692307692,1,0.818181818,18,26,1540
445,452,90,174,478,0.763157895,1,0.865671642,29,38,1531
446,187,125,615,340,0.72972973,1,0.84375,27,37,1617
447,155,1,258,526,0.756756757,1,0.861538462,28,37,1463
448,155,613,534,280,0.633333333,1,0.775510204,19,30,1511
449,207,347,381,296,0.777777778,1,0.875,28,36,1496
450,370,507,38,89,0.774193548,1,0.872727273,24,31,1563
451,511,292,600,619,0.735294118,1,0.847457627,25,34,1569
452,595,276,146,208,0.766666667,1,0.867924528,23,30,1563
453,271,509,18,192,0.766666667,1,0.867924528,23,30,1511
